Mês/Ano,Razão Social,CNPJ,Estado,Município,Produto,Quantidade (m³)
03/2022,CARAMURU ALIMENTOS S.A.,80671000371.0,Goiás,SAO SIMAO,ÁCIDO GRAXO DE ÓLEO DE SOJA,249.0
03/2022,CARAMURU ALIMENTOS S.A.,80671002153.0,Goiás,IPAMERI,ÁCIDO GRAXO DE ÓLEO DE SOJA,151.0
03/2022,MINERVA S.A.,67620377004705.0,Goiás,PALMEIRAS DE GOIAS,ÁCIDO GRAXO DE ÓLEO DE SOJA,385.0
03/2022,CAIBIENSE GRAN VITA LTDA,75817163000756.0,Mato Grosso,RONDONOPOLIS,ÁCIDO GRAXO DE ÓLEO DE SOJA,395.0
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,7113559000177.0,Goiás,FORMOSA,GORDURA BOVINA,2789.0
03/2022,MINERVA S.A.,67620377004705.0,Goiás,PALMEIRAS DE GOIAS,GORDURA BOVINA,186.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452.0,Goiás,PORANGATU,GORDURA BOVINA,2540.0
03/2022,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135.0,Mato Grosso,CUIABA,GORDURA BOVINA,157.0
03/2022,BINATURAL BAHIA LTDA,37880187000175.0,Bahia,SIMOES FILHO,GORDURA BOVINA,988.0
03/2022,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358.0,Bahia,IRAQUARA,GORDURA BOVINA,8.0
03/2022,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,8794451000150.0,Rondônia,JI-PARANA,GORDURA BOVINA,375.0
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467.0,Minas Gerais,MONTES CLAROS,GORDURA BOVINA,5046.0
03/2022,JBS S/A,2916265013300.0,São Paulo,LINS,GORDURA BOVINA,5239.0
03/2022,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,9267863000609.0,São Paulo,SUMARE,GORDURA BOVINA,47.0
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123.0,Paraná,LAPA,GORDURA BOVINA,3427.0
03/2022,FUGA COUROS SA,91302349001610.0,Rio Grande do Sul,CAMARGO,GORDURA BOVINA,8480.0
03/2022,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257.0,Rio Grande do Sul,VERANOPOLIS,GORDURA BOVINA,6350.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683.0,Rio Grande do Sul,ERECHIM,GORDURA BOVINA,277.0
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467.0,Minas Gerais,MONTES CLAROS,GORDURA DE FRANGO,876.0
03/2022,JBS S/A,2916265013300.0,São Paulo,LINS,GORDURA DE FRANGO,1768.0
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123.0,Paraná,LAPA,GORDURA DE FRANGO,7595.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683.0,Rio Grande do Sul,ERECHIM,GORDURA DE FRANGO,38.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452.0,Goiás,PORANGATU,GORDURA DE PORCO,2153.0
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467.0,Minas Gerais,MONTES CLAROS,GORDURA DE PORCO,568.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085.0,Rio de Janeiro,PORTO REAL,GORDURA DE PORCO,4354.0
03/2022,JBS S/A,2916265013300.0,São Paulo,LINS,GORDURA DE PORCO,4348.0
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123.0,Paraná,LAPA,GORDURA DE PORCO,1676.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683.0,Rio Grande do Sul,ERECHIM,GORDURA DE PORCO,3719.0
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,7113559000177.0,Goiás,FORMOSA,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),37.0
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660.0,Goiás,ANAPOLIS,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),201.0
03/2022,MINERVA S.A.,67620377004705.0,Goiás,PALMEIRAS DE GOIAS,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),340.0
03/2022,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,8684263000179.0,Mato Grosso,NOVA MARILANDIA,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),4792.0
03/2022,BINATURAL BAHIA LTDA,37880187000175.0,Bahia,SIMOES FILHO,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),1312.0
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,7322382000119.0,Rio Grande do Sul,PASSO FUNDO,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),509.0
03/2022,BINATURAL BAHIA LTDA,37880187000175.0,Bahia,SIMOES FILHO,ÓLEO DE FRITURA USADO,104.0
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386.0,Bahia,CANDEIAS,ÓLEO DE FRITURA USADO,56.0
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430.0,Tocantins,PORTO NACIONAL,ÓLEO DE FRITURA USADO,5.0
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467.0,Minas Gerais,MONTES CLAROS,ÓLEO DE FRITURA USADO,77.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085.0,Rio de Janeiro,PORTO REAL,ÓLEO DE FRITURA USADO,5371.0
03/2022,JBS S/A,2916265013300.0,São Paulo,LINS,ÓLEO DE FRITURA USADO,809.0
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123.0,Paraná,LAPA,ÓLEO DE FRITURA USADO,1057.0
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,7322382000119.0,Rio Grande do Sul,PASSO FUNDO,ÓLEO DE FRITURA USADO,469.0
03/2022,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257.0,Rio Grande do Sul,VERANOPOLIS,ÓLEO DE FRITURA USADO,270.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683.0,Rio Grande do Sul,ERECHIM,ÓLEO DE FRITURA USADO,770.0
03/2022,SEARA ALIMENTOS LTDA,2914460032788.0,Santa Catarina,MAFRA,ÓLEO DE FRITURA USADO,501.0
03/2022,MINERVA S.A.,67620377004705.0,Goiás,PALMEIRAS DE GOIAS,ÓLEO DE MILHO,155.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452.0,Goiás,PORANGATU,ÓLEO DE MILHO,177.0
03/2022,CAIBIENSE GRAN VITA LTDA,75817163000756.0,Mato Grosso,RONDONOPOLIS,ÓLEO DE MILHO,572.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683.0,Rio Grande do Sul,ERECHIM,ÓLEO DE MILHO,69.0
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,7113559000177.0,Goiás,FORMOSA,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),76.0
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660.0,Goiás,ANAPOLIS,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),9.0
03/2022,MINERVA S.A.,67620377004705.0,Goiás,PALMEIRAS DE GOIAS,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),695.0
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452.0,Goiás,PORANGATU,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),157.0
03/2022,BINATURAL BAHIA LTDA,37880187000175.0,Bahia,SIMOES FILHO,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),3063.0
03/2022,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358.0,Bahia,IRAQUARA,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),9049.0
